,All Data,Federated
0,0.7659080251045477,-0.07421640792401951
1,0.8169722373185224,-0.020276174830235583
2,0.8191835542477667,0.013333612695899277
3,0.8257609757394688,0.05449269893660591
4,0.8416790482884804,0.0995010604632528
5,0.8443667302054412,0.16498398721863583
6,0.8454676925368201,0.23794678322050522
7,0.8482234985438164,0.3151774730976772
8,0.8488948544067626,0.3851768554668198
9,0.8494629915074485,0.4423854639306939
10,0.8493832561525523,0.4956071742714455
11,0.8481429871967727,0.5370603705266339
12,0.8484664183187727,0.5715867934539728
13,0.8489239416186556,0.6030301229197605
14,0.8494713798438456,0.6316499202234879
15,0.8486089212849197,0.658624902377879
16,0.8486090175180216,0.6785964117942049
17,0.8481953810586291,0.6971021510229498
18,0.8496711538655393,0.7108453091360307
19,0.8500335142737434,0.7232763164836246
20,0.8498126027066538,0.7346387464879272
21,0.8494956927072088,0.7404006368162861
22,0.8492700066539278,0.7480054029864935
23,0.8474487697197505,0.7550908856298144
24,0.84725167451998,0.7606389882786223
25,0.846943299248312,0.7680353725682012
26,0.8466683540114555,0.7729179730465576
27,0.8459098420088027,0.7775077677110247
28,0.8460836432473089,0.7812595002810534
29,0.8450874335650209,0.7848996729366636
30,0.8450546983000984,0.7879274475246887
31,0.8469174941184622,0.7915629017619801
32,0.8469101830964554,0.7944157839578778
33,0.8488551884712057,0.7961792040287008
34,0.8487686803578232,0.798792538990375
35,0.8486323364542193,0.8004919208487313
36,0.8487449064968423,0.8027868437648439
37,0.8489539963384576,0.8045287978849244
38,0.8493517840522897,0.806254566040795
39,0.8492988171426454,0.8096581428579319
40,0.8493546889660951,0.8121449754268353
41,0.8493264534467866,0.8136006570764105
42,0.8493452280140663,0.8156724878636783
43,0.8493619819169393,0.8168507648091788
44,0.8493043549481561,0.8178027738469721
45,0.849448448689415,0.8198283043954219
46,0.8494984205100923,0.8208959972268997
47,0.8494063076550364,0.8219876211810492
48,0.8488892807576466,0.8239811165753446
49,0.8489816554385321,0.8250019616291969
50,0.8486096559027313,0.8256285811992146
51,0.848598491824444,0.8285736059359131
52,0.8486616830866917,0.8300020462341446
53,0.8485614628882944,0.8308257005629408
54,0.8486073677473529,0.8318761054073145
55,0.8484838249668263,0.832312001714649
56,0.8487476820383901,0.8343457563560059
57,0.8487012316111774,0.8348394816166161
58,0.8488701000418419,0.8353798454983711
59,0.8490338593374377,0.8361511890017022
60,0.8487850012872411,0.8382735763971426
61,0.8490336181126272,0.8388132771053307
62,0.849089040879135,0.8395479431558345
63,0.84887855859862,0.8409945615825225
64,0.8491261006449496,0.8405238946632984
65,0.8489304585199158,0.8409347398165433
66,0.8493823690601046,0.843225337538198
67,0.8492581064748133,0.8436994669710172
68,0.8498051522390346,0.844066448427228
69,0.8496792558771165,0.8445016951635387
70,0.8492878066585634,0.8448870437204969
71,0.8495819177218693,0.8455500932240054
72,0.8497976959153843,0.8452862278986389
73,0.8496003684807267,0.8461776636792847
74,0.8498581147405345,0.8467058824854106
75,0.8498271660969499,0.8467881784824541
76,0.8498456538919338,0.8473062282619562
77,0.8497987976790955,0.8471716640884416
78,0.8498285728216664,0.8474748015666042
79,0.8498771614177398,0.8476861555249295
80,0.8498653018621931,0.847899478993288
81,0.8499120463626937,0.8476089284566413
82,0.8498834670151503,0.8473208841838944
83,0.8499888535090226,0.8477480678696372
84,0.8499692086390974,0.8477533425715735
85,0.849916545895737,0.8475090624882874
86,0.8499835870113476,0.846959705156225
87,0.8499834569302445,0.847025342066979
88,0.8500423461292346,0.8494459284497755
89,0.8500291852191261,0.848617412581296
90,0.8501485133749324,0.8497473782596505
91,0.8501348023987254,0.8496341788456351
92,0.8501743317241919,0.8491591198023873
93,0.8501943215354426,0.8488725671266373
94,0.8502589848477884,0.8496374453652001
95,0.8502573895546324,0.8499217755226328
96,0.8502375792997521,0.8495320974187678
97,0.8502206663130133,0.848502739621188
98,0.8502140363074485,0.8500303475507422
99,0.8501947658847666,0.8499600601431432
100,0.8501750206721221,0.8492427723601293
101,0.8502263017395558,0.8486440681178382
102,0.8502094526539692,0.8488716579872122
103,0.8501905160925229,0.8502113123937155
104,0.8501701551874945,0.8500257942270392
105,0.8501796114294373,0.8493636651626522
